Vigencia,Tipo,Componente Base,Componente Variable,Impuesto Especifico Resultante,Otro
16-11-2023,Gasolina Automotriz 93 (*),"6,00","0,8468","6,8468",UTM/m3
16-11-2023,Gasolina Automotriz 97 (*),"6,00","0,8447","6,8447",UTM/m3
16-11-2023,Petroleo Diesel,"1,50","-0,3513","1,1487",UTM/m3
16-11-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,0000","1,4000",UTM/m3
16-11-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,0000","1,9300",UTM/1000m3
09-11-2023,Gasolina Automotriz 93 (*),"6,00","0,9409","6,9409",UTM/m3
09-11-2023,Gasolina Automotriz 97 (*),"6,00","0,9287","6,9287",UTM/m3
09-11-2023,Petroleo Diesel,"1,50","-1,1814","0,3186",UTM/m3
09-11-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,3351","1,7351",UTM/m3
09-11-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,5092","2,4392",UTM/1000m3
02-11-2023,Gasolina Automotriz 93 (*),"6,00","0,0817","6,0817",UTM/m3
02-11-2023,Gasolina Automotriz 97 (*),"6,00","0,0534","6,0534",UTM/m3
02-11-2023,Petroleo Diesel,"1,50","-2,1193","-0,6193",UTM/m3
02-11-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,1941","1,5941",UTM/m3
02-11-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,2949","2,2249",UTM/1000m3
26-10-2023,Gasolina Automotriz 93 (*),"6,00","0,0000","6,00",UTM/m3
26-10-2023,Gasolina Automotriz 97 (*),"6,00","0,0000","6,00",UTM/m3
26-10-2023,Petroleo Diesel,"1,50","-2,4353","-0,9353",UTM/m3
26-10-2023,Gas Licuado de Petroleo de Consumo Vehicular,"1,40","0,0000","1,40",UTM/m3
26-10-2023,Gas Natural Comprimido de Consumo Vehicular,"1,93","0,0000","1,93",UTM/1000m3
