Vigencia,Tipo,Componente Base,Componente Variable,Impuesto Especifico Resultante,Otro
16-11-2023,Petroleo Diesel,"1,50","-0,3513","1,1487",UTM/m3
09-11-2023,Petroleo Diesel,"1,50","-1,1814","0,3186",UTM/m3
02-11-2023,Petroleo Diesel,"1,50","-2,1193","-0,6193",UTM/m3
26-10-2023,Petroleo Diesel,"1,50","-2,4353","-0,9353",UTM/m3
19-10-2023,Petroleo Diesel,"1,50","-2,5580","-1,0580",UTM/m3
12-10-2023,Petroleo Diesel,"1,50","-2,7180","-1,2180",UTM/m3
05-10-2023,Petroleo Diesel,"1,50","-2,9583","-1,4583",UTM/m3
28-09-2023,Petroleo Diesel,"1,50","-3,0391",,UTM/m3
21-09-2023,Petroleo Diesel,"1,50","-3,0612","-1,5612",UTM/m3
14-09-2023,Petroleo Diesel,"1,50","-2,2388","-0,7388",UTM/m3
07-09-2023,Petroleo Diesel,"1,50","-2,0040","-0,5040",UTM/m3
31-08-2023,Petroleo Diesel,"1,50","-2,0545","-0,5545",UTM/m3
24-08-2023,Petroleo Diesel,"1,50","-1,8842","-0,3842",UTM/m3
17-08-2023,Petroleo Diesel,"1,50","-1,8145","-0,3145",UTM/m3
10-08-2023,Petroleo Diesel,"1,50","-1,0096","0,4904",UTM/m3
03-08-2023,Petroleo Diesel,"1,50","0,1814","1,6814",UTM/m3
27-07-2023,Petroleo Diesel,"1,50","1,1828","2,6828",UTM/m3
20-07-2023,Petroleo Diesel,"1,50","1,5228","3,0228",UTM/m3
13-07-2023,Petroleo Diesel,"1,50","2,0128","3,5128",UTM/m3
06-07-2023,Petroleo Diesel,"1,50","2,2633","3,7633",UTM/m3
29-06-2023,Petroleo Diesel,"1,50","2,4173","3,9173",UTM/m3
22-06-2023,Petroleo Diesel,"1,50","2,5809","4,0809",UTM/m3
15-06-2023,Petroleo Diesel,"1,50","3,0820","4,5820",UTM/m3
08-06-2023,Petroleo Diesel,"1,50","2,9005","4,4005",UTM/m3
01-06-2023,Petroleo Diesel,"1,50","2,7888","4,2888",UTM/m3
25-05-2023,Petroleo Diesel,"1,50","3,2260","4,7260",UTM/m3
18-05-2023,Petroleo Diesel,"1,50","3,3797","4,8797",UTM/m3
11-05-2023,Petroleo Diesel,"1,50","3,1485","4,6485",UTM/m3
04-05-2023,Petroleo Diesel,"1,50","2,9022","4,4022",UTM/m3
27-04-2023,Petroleo Diesel,"1,50","2,4166","3,9166",UTM/m3
20-04-2023,Petroleo Diesel,"1,50","1,8753","3,3753",UTM/m3
13-04-2023,Petroleo Diesel,"1,50","2,1518","3,6518",UTM/m3
06-04-2023,Petroleo Diesel,"1,50","2,3814","3,8814",UTM/m3
30-03-2023,Petroleo Diesel,"1,50","2,0406","3,5406",UTM/m3
23-03-2023,Petroleo Diesel,"1,50","1,9865","3,4865",UTM/m3
16-03-2023,Petroleo Diesel,"1,50","1,8561","3,3561",UTM/m3
09-03-2023,Petroleo Diesel,"1,50","1,6968","3,1968",UTM/m3
02-03-2023,Petroleo Diesel,"1,50","2,3642","3,8642",UTM/m3
23-02-2023,Petroleo Diesel,"1,50","2,3474","3,8474",UTM/m3
16-02-2023,Petroleo Diesel,"1,50","2,2633","3,7633",UTM/m3
09-02-2023,Petroleo Diesel,"1,50","1,9054","3,4054",UTM/m3
02-02-2023,Petroleo Diesel,"1,50","0,8795","2,3795",UTM/m3
26-01-2023,Petroleo Diesel,"1,50","0,9431","2,4431",UTM/m3
19-01-2023,Petroleo Diesel,"1,50","1,7603","3,2603",UTM/m3
12-01-2023,Petroleo Diesel,"1,50","1,1125","2,6125",UTM/m3
05-01-2023,Petroleo Diesel,"1,50","0,9100","2,4100",UTM/m3
